,attraction_urls
69,https://www.tripadvisor.in/Attraction_Review-g297684-d21260072-Reviews-Phoenix_Palassio-Lucknow_Lucknow_District_Uttar_Pradesh.html
70,https://www.tripadvisor.in/Attraction_Review-g297684-d5782286-Reviews-Dhyan_Chand_Astroturf_Stadium-Lucknow_Lucknow_District_Uttar_Pradesh.html
71,https://www.tripadvisor.in/Attraction_Review-g297684-d17708554-Reviews-Chandrashekhar_Azad_Park-Lucknow_Lucknow_District_Uttar_Pradesh.html
72,https://www.tripadvisor.in/Attraction_Review-g297684-d3705312-Reviews-Shivala_Ghat-Lucknow_Lucknow_District_Uttar_Pradesh.html
73,https://www.tripadvisor.in/Attraction_Review-g297684-d6496336-Reviews-Bal_Sangrahalaya-Lucknow_Lucknow_District_Uttar_Pradesh.html
74,https://www.tripadvisor.in/Attraction_Review-g297684-d325087-Reviews-Sikandar_Bagh-Lucknow_Lucknow_District_Uttar_Pradesh.html
75,https://www.tripadvisor.in/Attraction_Review-g297684-d24086183-Reviews-Emerald_Mall-Lucknow_Lucknow_District_Uttar_Pradesh.html
76,https://www.tripadvisor.in/Attraction_Review-g297684-d20329935-Reviews-Kalandi_Park-Lucknow_Lucknow_District_Uttar_Pradesh.html
77,https://www.tripadvisor.in/Attraction_Review-g297684-d6500981-Reviews-Lalit_Kala_Akademi-Lucknow_Lucknow_District_Uttar_Pradesh.html
78,https://www.tripadvisor.in/Attraction_Review-g297684-d15081081-Reviews-Kothi_Roshan_ud_Daula-Lucknow_Lucknow_District_Uttar_Pradesh.html
79,https://www.tripadvisor.in/Attraction_Review-g297684-d19275696-Reviews-Mystery_Rooms-Lucknow_Lucknow_District_Uttar_Pradesh.html
80,https://www.tripadvisor.in/Attraction_Review-g297684-d23498550-Reviews-Kakori_Shaheed_Smarak-Lucknow_Lucknow_District_Uttar_Pradesh.html
81,https://www.tripadvisor.in/Attraction_Review-g297684-d24905233-Reviews-Anandi_Magic_World-Lucknow_Lucknow_District_Uttar_Pradesh.html
82,https://www.tripadvisor.in/Attraction_Review-g297684-d19240960-Reviews-Statue_of_Equality-Lucknow_Lucknow_District_Uttar_Pradesh.html
83,https://www.tripadvisor.in/Attraction_Review-g297684-d12518592-Reviews-Museum_of_Socialism_Jayaprakash_Narayan-Lucknow_Lucknow_District_Uttar_Pradesh.html
84,https://www.tripadvisor.in/Attraction_Review-g297684-d5792099-Reviews-Kothi_Darshan_Vilas-Lucknow_Lucknow_District_Uttar_Pradesh.html
85,https://www.tripadvisor.in/Attraction_Review-g297684-d19057947-Reviews-Yahiyaganj_Gurudwara-Lucknow_Lucknow_District_Uttar_Pradesh.html
86,https://www.tripadvisor.in/Attraction_Review-g297684-d321266-Reviews-Dahas_Ghat-Lucknow_Lucknow_District_Uttar_Pradesh.html
87,https://www.tripadvisor.in/Attraction_Review-g297684-d4088439-Reviews-Taluqdar_Hall-Lucknow_Lucknow_District_Uttar_Pradesh.html
88,https://www.tripadvisor.in/Attraction_Review-g297684-d3705547-Reviews-Taal_Katore_ki_Karbala-Lucknow_Lucknow_District_Uttar_Pradesh.html
89,https://www.tripadvisor.in/Attraction_Review-g297684-d5782302-Reviews-Khurshid_Manzil-Lucknow_Lucknow_District_Uttar_Pradesh.html
90,https://www.tripadvisor.in/Attraction_Review-g297684-d3187819-Reviews-Farangi_Mahal_Islamic_Centre_of_India-Lucknow_Lucknow_District_Uttar_Pradesh.html
91,https://www.tripadvisor.in/Attraction_Review-g297684-d19578446-Reviews-Ekana_Cricket_Stadium-Lucknow_Lucknow_District_Uttar_Pradesh.html
92,https://www.tripadvisor.in/Attraction_Review-g297684-d14088563-Reviews-Sugandhco-Lucknow_Lucknow_District_Uttar_Pradesh.html
93,https://www.tripadvisor.in/Attraction_Review-g297684-d18367999-Reviews-Ghantaghar-Lucknow_Lucknow_District_Uttar_Pradesh.html
94,https://www.tripadvisor.in/Attraction_Review-g297684-d24754831-Reviews-Mj_Funcity_Water_Park_Resort-Lucknow_Lucknow_District_Uttar_Pradesh.html
95,https://www.tripadvisor.in/Attraction_Review-g297684-d20373685-Reviews-Cliniva_Wellness-Lucknow_Lucknow_District_Uttar_Pradesh.html
96,https://www.tripadvisor.in/Attraction_Review-g297684-d23033341-Reviews-The_Creators_Cricket_Club_Ground-Lucknow_Lucknow_District_Uttar_Pradesh.html
97,https://www.tripadvisor.in/Attraction_Review-g297684-d24166681-Reviews-Palate_24x7_Super_Store-Lucknow_Lucknow_District_Uttar_Pradesh.html
98,https://www.tripadvisor.in/Attraction_Review-g297684-d12098658-Reviews-Singapore_Mall-Lucknow_Lucknow_District_Uttar_Pradesh.html
99,https://www.tripadvisor.in/Attraction_Review-g297684-d5782290-Reviews-Council_House-Lucknow_Lucknow_District_Uttar_Pradesh.html
100,https://www.tripadvisor.in/Attraction_Review-g297684-d25069389-Reviews-Lucknow_Metro_Railway-Lucknow_Lucknow_District_Uttar_Pradesh.html
101,https://www.tripadvisor.in/Attraction_Review-g297684-d6500835-Reviews-Wave_Cinemas-Lucknow_Lucknow_District_Uttar_Pradesh.html
102,https://www.tripadvisor.in/Attraction_Review-g297684-d6500831-Reviews-SRS_Cinemas-Lucknow_Lucknow_District_Uttar_Pradesh.html
103,https://www.tripadvisor.in/Attraction_Review-g297684-d16693039-Reviews-Nafasat_Chikan-Lucknow_Lucknow_District_Uttar_Pradesh.html
104,https://www.tripadvisor.in/Attraction_Review-g297684-d17660558-Reviews-Mayoori_Sarees-Lucknow_Lucknow_District_Uttar_Pradesh.html
105,https://www.tripadvisor.in/Attraction_Review-g297684-d13137383-Reviews-Kaarigari-Lucknow_Lucknow_District_Uttar_Pradesh.html
106,https://www.tripadvisor.in/Attraction_Review-g297684-d21278635-Reviews-Lhasa_Spa_Lucknow-Lucknow_Lucknow_District_Uttar_Pradesh.html
107,https://www.tripadvisor.in/Attraction_Review-g297684-d6496464-Reviews-Bhootnath_Market-Lucknow_Lucknow_District_Uttar_Pradesh.html
108,https://www.tripadvisor.in/Attraction_Review-g297684-d19502228-Reviews-Jagran_Party-Lucknow_Lucknow_District_Uttar_Pradesh.html
109,https://www.tripadvisor.in/Attraction_Review-g297684-d4362751-Reviews-Wave-Lucknow_Lucknow_District_Uttar_Pradesh.html
110,https://www.tripadvisor.in/Attraction_Review-g297684-d3207786-Reviews-Tornos_India-Lucknow_Lucknow_District_Uttar_Pradesh.html
111,https://www.tripadvisor.in/Attraction_Review-g297684-d6496454-Reviews-Halwasiya_Market-Lucknow_Lucknow_District_Uttar_Pradesh.html
112,https://www.tripadvisor.in/Attraction_Review-g297684-d7398023-Reviews-Lucknow_Golf_Club-Lucknow_Lucknow_District_Uttar_Pradesh.html
113,https://www.tripadvisor.in/Attraction_Review-g297684-d15065483-Reviews-Yatri_Car_Rental-Lucknow_Lucknow_District_Uttar_Pradesh.html
114,https://www.tripadvisor.in/Attraction_Review-g297684-d23717083-Reviews-Travel_Bureau_Lucknow-Lucknow_Lucknow_District_Uttar_Pradesh.html
115,https://www.tripadvisor.in/Attraction_Review-g297684-d15690638-Reviews-Universal_Booksellers-Lucknow_Lucknow_District_Uttar_Pradesh.html
116,https://www.tripadvisor.in/Attraction_Review-g297684-d13167010-Reviews-Authenticook-Lucknow_Lucknow_District_Uttar_Pradesh.html
