,Tourist Attraction,Name,Rating,Date and criteria,Title,Review
6,Din_Brothers_Jewellers,Suzie182,5.0 of 5 bubbles,Jul 2022 • Solo,Great shop,"I've tried some beautiful jewellers which didn't  exactly fit my finger's size, but I got a quick and profesional help from Din Brothers Jewellers which Made me enjoy a Nice experience."
7,Din_Brothers_Jewellers,Din Brothers J,5.0 of 5 bubbles,Jul 2022 • Couples,Amazing jewellery and pashminas!!!,Thank you for taking the time to share your experience with us.  It was a pleasure to do business with you and We are glad to note your appreciation. Hope to see you in coming future. 
8,Din_Brothers_Jewellers,Selinaadams83,5.0 of 5 bubbles,Jan 2022 • Couples,Lovely shop,Thank you for taking the time to share your experience with us.  It was a pleasure to do business with you and We are glad to note your appreciation. Hope to see you in coming future. 
9,Din_Brothers_Jewellers,Din Brothers J,,,,"What a wonderful shop in Ladakh. Very beautiful gifts, jewellery and  unique Indian crafts. Very high quality good prices. The owner Zubair is very helpful and knowledgeable. It is impossible to leave without buying something, because of the fabulous and wide range on offer, to treat your self or as  a-charming gift for someone else. I have shopped with Zubair before and always been very pleased with my purchase. Highly recommend a visit"
10,Din_Brothers_Jewellers,Neil D,,,,"Thank you so much for your kind words, I really appreciate you taking the time out to share your experience with us. I  count ourselves lucky for customers like you. I look forward to working with you again in the future!"
11,Din_Brothers_Jewellers,Din Brothers J,,,,"Thank you so much for your kind words, I really appreciate you taking the time out to share your experience with us. I  count ourselves lucky for customers like you. I look forward to working with you again in the future!"
12,Din_Brothers_Jewellers,mikadowska,,,,We have bought beautiful silver jewellery for myself and my daughters. I even brought my wedding ring there 2004 as well as silk scarves for family and friends. The jewellery is still worn and still looks amazing.
13,Din_Brothers_Jewellers,Din Brothers J,,,,Thank you very much  for taking your time to share comment. 
14,Din_Brothers_Jewellers,Karen,,,,Thank you very much  for taking your time to share comment. 
15,Din_Brothers_Jewellers,Din Brothers J,,,,"A very knowledgable,professional and courteous business. We have bought many items of jewellery from Din over quite a few years and all were of a very high specification."
16,Din_Brothers_Jewellers,Ady Lake,,,,"Thank you so much for your kind words,  We really appreciate you taking the time out to share your experience.  We look forward to see you again in the future!
"
17,Din_Brothers_Jewellers,Din Brothers J,,,,"Thank you so much for your kind words,  We really appreciate you taking the time out to share your experience.  We look forward to see you again in the future!
"
18,,,,,,"The owner is very nice and helpful!He speaks English which is quite rare, there are beautiful postcards in the shop I definitely recommend to go buy them there!"
19,,,,,,"We are so grateful for the pleasure of serving you and hope to see you again in coming future.
thank you for taking your precious time to post comment on trip advisor."
20,,,,,,"We are so grateful for the pleasure of serving you and hope to see you again in coming future.
thank you for taking your precious time to post comment on trip advisor."
21,,,,,,I visited Din brothers and was just browsing I had no intention of buying anything. However I could not help myself. He has the most amazing jewellery and beautiful pashminas. I bought all my families gifts. The owner was so helpful and pleasant and because I purchased many items he gave me a good deal. I would definitely recommend shopping here. Thank you.
22,,,,,,Thank you for your valuable feedback. We are so grateful for the pleasure of serving you.
23,,,,,,Thank you for your valuable feedback. We are so grateful for the pleasure of serving you.
24,,,,,,"Excellent customer serviceThe quality of the jewellery is perfect and the pashmina so beautiful.i highly recommend this shop to anyone, nothing is too much trouble for the customer from Din Brothers"
25,,,,,,"Dear Sir,
Thank you for your business and comment. We hope to get an opportunity to do business with you again.
Warm wishes.
Shah"
26,,,,,,"Dear Sir,
Thank you for your business and comment. We hope to get an opportunity to do business with you again.
Warm wishes.
Shah"
