,attraction_urls
98,https://www.tripadvisor.in/Attraction_Review-g12412672-d482986-Reviews-Bhagwan_Mahavir_Wildlife_Sanctuary-South_Goa_District_Goa.html
99,https://www.tripadvisor.in/Attraction_Review-g816969-d4155043-Reviews-Rock_Formations-Agonda_South_Goa_District_Goa.html
100,https://www.tripadvisor.in/Attraction_Review-g306995-d7927732-Reviews-Tibetan_Market-Calangute_North_Goa_District_Goa.html
101,https://www.tripadvisor.in/Attraction_Review-g1925961-d4138919-Reviews-Sunset_Beach-Betalbatim_Salcette_South_Goa_District_Goa.html
102,https://www.tripadvisor.in/Attraction_Review-g1994835-d1994795-Reviews-Menezes_Braganza_House-Chandor_South_Goa_District_Goa.html
103,https://www.tripadvisor.in/Attraction_Review-g303877-d2720762-Reviews-Coco_Beach-Panjim_North_Goa_District_Goa.html
104,https://www.tripadvisor.in/Attraction_Review-g306995-d3835936-Reviews-Casino_Palms-Calangute_North_Goa_District_Goa.html
105,https://www.tripadvisor.in/Attraction_Review-g303877-d2665274-Reviews-Vainguinim_Beach-Panjim_North_Goa_District_Goa.html
106,https://www.tripadvisor.in/Attraction_Review-g1199433-d4206546-Reviews-Carpe_Diem-Majorda_South_Goa_District_Goa.html
107,https://www.tripadvisor.in/Attraction_Review-g297604-d1026422-Reviews-Ashwen_Beach-Goa.html
108,https://www.tripadvisor.in/Attraction_Review-g303877-d3258270-Reviews-Sunaparanta_Goa_Centre_for_the_Arts-Panjim_North_Goa_District_Goa.html
109,https://www.tripadvisor.in/Attraction_Review-g4444110-d7721321-Reviews-Netravali_Waterfall-Netravali_South_Goa_District_Goa.html
110,https://www.tripadvisor.in/Attraction_Review-g297604-d599835-Reviews-Ancestral_Goa-Goa.html
111,https://www.tripadvisor.in/Attraction_Review-g297605-d3731054-Reviews-Kegdole_Beach-Candolim_Bardez_North_Goa_District_Goa.html
112,https://www.tripadvisor.in/Attraction_Review-g303877-d1809564-Reviews-Panjim_Heritage_Walk-Panjim_North_Goa_District_Goa.html
113,https://www.tripadvisor.in/Attraction_Review-g306994-d4138923-Reviews-Church_of_St_John_the_Baptist-Benaulim_Salcette_South_Goa_District_Goa.html
114,https://www.tripadvisor.in/Attraction_Review-g303877-d320657-Reviews-Church_Square-Panjim_North_Goa_District_Goa.html
115,https://www.tripadvisor.in/Attraction_Review-g4354974-d4138930-Reviews-Sernabatim_Beach-Sernabatim_Salcette_South_Goa_District_Goa.html
116,https://www.tripadvisor.in/Attraction_Review-g306992-d2371638-Reviews-Splashdown_Waterpark_Goa-Anjuna_Bardez_North_Goa_District_Goa.html
117,https://www.tripadvisor.in/Attraction_Review-g1152662-d7228510-Reviews-San_Thome_Museum_Back_in_Time-Margao_South_Goa_District_Goa.html
